repository,path,exists,file_count,size_bytes,note
Skill-Loop-CSP,data,True,1748,74745085,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,artifacts,True,103256,4899992770,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,out,True,7,268842,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,outputs,True,141021,851242771,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,runs,True,526,80671699,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,reports,True,23355,41160190,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,prompts,True,9,5053,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,config,True,3,3265,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Skill-Loop-CSP,memory,True,7,41605,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Crystal-DB,data,True,20283,939505743,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Crystal-DB,demo_cifs,True,6,8160,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Crystal-DB,artifacts,True,119569,802471896,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Crystal-DB,tmp,True,3,1816880,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Crystal-DB,configs,True,1,254,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
SPP-Maker-QLIP,data,True,4702,7331874,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
SPP-Maker-QLIP,QLIP_Outputs,True,9056,93864738,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
SPP-Maker-QLIP,artifacts,True,4,12817,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
SPP-Maker-QLIP,out,True,18219,91211119,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
SPP-Maker-QLIP,rules,True,1,151,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
qlip,data,True,20334,264150616,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
qlip,artifacts,True,9,74398,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Structured_Crystal_Analyser,data,True,2,50886,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Structured_Crystal_Analyser,reference_sets,True,1,3182,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Structured_Crystal_Analyser,reports,True,185,4246875,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
Structured_Crystal_Analyser,configs,True,2,596,"working-tree observation; may combine tracked, ignored, generated, and runtime files"
