repository,revision,path,line,reference
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,tests/unit/workflow/test_public_release_metadata.py,16,s://github.com/ChristianBrowning213/Structured_Crystal_Analyser.git@3ede1ee2ad1a972b7c0a0809a9ec7bdab9b1b6af
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_CORPUS_BUILD_REPORT.json,4,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\paper_experiment_3_halide_perovskite_v1.db
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_CORPUS_BUILD_REPORT.json,5,C:\\Users\\brown\\Documents\\GitHub\\Crystal-DB\\data\\result_datasets\\paper_experiment_3_halide_perovskite_v1
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_CORPUS_BUILD_REPORT.md,4,C:\Users\brown\Documents\GitHub\Crystal-DB\data\paper_experiment_3_halide_perovskite_v1.db`
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_CORPUS_BUILD_REPORT.md,5,C:\Users\brown\Documents\GitHub\Crystal-DB\data\result_datasets\paper_experiment_3_halide_perovskite_v1`
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_REPRODUCTION.md,12,C:\Users\brown\Documents\GitHub\Crystal-DB\data\paper_experiment_3_halide_perovskite_v1.db --input-text-csv experiments\paper_experiment_3_specialist_halide_queries.csv --out-root local_runs\paper_experiment_3_specialist_halide_v1 --experiment-id paper_experiment_3_specialist_halide_v1 --with-crystaldb --with-retrieval --with-spp --with-qlip --with-validation --make-diagrams --write-archive-manifest
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_EXPERIMENT_3_REPRODUCTION.md,18,C:\Users\brown\Documents\GitHub\Skill-Loop-CSP\local_runs\paper_experiment_3_specialist_halide_v1\SCA_GENERATED_CIFS_MANIFEST.csv --out-dir C:\Users\brown\Documents\GitHub\Skill-Loop-CSP\local_runs\paper_experiment_3_specialist_halide_v1\sca_symmetry_intent --symprec 0.01 --angle-tolerance 5
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,251,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__NiO\\NiO_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,284,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__TiN\\TiN_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,317,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__MgO\\MgO_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,350,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__CeO2\\CeO2_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,383,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__ZrO2\\ZrO2_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,416,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__ThO2\\ThO2_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,449,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__CsPbBr3\\CsPbBr3_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,482,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__CsSnBr3\\CsSnBr3_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,515,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__CsPbCl3\\CsPbCl3_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,548,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__ZnFe2O4\\ZnFe2O4_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,581,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__MgAl2O4\\MgAl2O4_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,614,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_1_common_families__common_families__CoFe2O4\\CoFe2O4_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,647,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_3_halide_perovskite__halide_perovskite__CsPbBr3\\CsPbBr3_final.cif
Crystal-DB,e33d5cc55be01f800a7cf055cc1793d982deb5bc,artifacts/PAPER_RESULT_FAILURE_AND_COVERAGE_AUDIT.json,680,C:\\Users\\brown\\Documents\\GitHub\\Structured_Crystal_Analyser\\local_runs\\paper_result_section_smoke_v2_20260716\\result_3_halide_perovskite__halide_perovskite__CsSnBr3\\CsSnBr3_final.cif
