repository,revision,path,line,kind,symbol
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,44,function,looks_binary
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,55,function,read_text_file
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,69,function,is_hidden
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,79,class,GitIgnoreRule
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,86,function,_parse_gitignore_file
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,124,function,_rule_matches
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,171,function,is_ignored_by_gitignore
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,206,function,ensure_gitignore_loaded_for_dir
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,224,function,should_skip_file
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,258,function,should_skip_dir
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,project_to_txt.py,279,function,main
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,41,function,read_json
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,45,function,read_csv
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,50,function,write_csv
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,59,function,write_text
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,64,function,family_of
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,71,function,_truthy
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,78,function,load_inputs
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,107,function,build_primary_rows
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,167,function,_rate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,171,function,family_generation_summary
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,195,function,family_validation_summary
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,217,function,family_topology_summary
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,253,function,build_ablation_rows
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,scripts/assemble_paper1_positive_domain_results.py,318,function,ablation_level1
