row_id,experiment_block,formula,family,request,scaffold_mode,corpus,request_spp_mode,reference_id,repeat_group,repeat_index,run_sca,run_chgnet,enabled,execution_mode,source_artifact,source_artifact_key,notes
TRACE-A2,TRACE,Na3Zr2Si2PO12,NASICON/NZP,"Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.",tight,nasicon_specialist_v3,enabled,,,1,yes,yes,yes,reuse_frozen,artifacts/final_paper_benchmark_result4_v4_1/results/positive/RDX-E4-A2/POSITIVE_CANONICAL/attempts/20260813T224510.876647Z-ff81ffc5708a/workflow_trace.json,,Flagship request-SPP-guided canonical trace; target-derived scaffold demonstration.
BREADTH-U001,BREADTH,NiO,rocksalt,Generate a rocksalt nickel oxide structure using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-001,Frozen prospective result reused without rerun.
BREADTH-U002,BREADTH,TiN,nitride,Generate a rocksalt titanium nitride candidate using Crystal-DB nitride evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-002,Frozen prospective result reused without rerun.
BREADTH-U003,BREADTH,MgO,rocksalt,Generate a rocksalt magnesium oxide structure from retrieved oxide analogues.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-003,Frozen prospective result reused without rerun.
BREADTH-U004,BREADTH,CeO2,fluorite,Generate a fluorite cerium dioxide candidate using Crystal-DB evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-004,Frozen prospective result reused without rerun.
BREADTH-U005,BREADTH,ZrO2,fluorite,Generate a fluorite zirconium dioxide candidate using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-005,Frozen prospective result reused without rerun.
BREADTH-U006,BREADTH,ThO2,fluorite,Generate a fluorite thorium dioxide candidate using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-006,Frozen prospective result reused without rerun.
BREADTH-U007,BREADTH,ZnFe2O4,spinel,Generate a zinc ferrite spinel candidate using retrieved spinel evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-007,Frozen prospective result reused without rerun.
BREADTH-U008,BREADTH,MgAl2O4,spinel,Generate a magnesium aluminate spinel candidate using retrieved spinel evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-008,Frozen prospective result reused without rerun.
BREADTH-U009,BREADTH,CoFe2O4,spinel,Generate a cobalt ferrite spinel candidate using retrieved spinel evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-009,Frozen prospective result reused without rerun.
BREADTH-U010,BREADTH,BaTiO3,perovskite,Generate a barium titanate perovskite candidate using retrieved oxide evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-010,Frozen prospective result reused without rerun.
BREADTH-U011,BREADTH,Li6PS5Cl,argyrodite,Generate an ordered Li6PS5Cl argyrodite candidate using retrieved ionic-material evidence.,tight,materials_project_phase6_mp_10k,enabled,,,,yes,yes,yes,reuse_frozen,artifacts/paper_final_results_v1/PAPER_READY_ARCHIVE/06_TABLES/CSV/FINAL_UNIQUE_STRUCTURE_RESULTS.csv,unique_structure_id=U-011,Frozen prospective result reused without rerun.
