row_id,experiment_block,formula,family,request,scaffold_mode,scaffold_dir,request_spp_mode,corpus,retrieval_depth,run_sca,run_chgnet,enabled,notes
SPP-NATIVE-BATIO3,BREADTH,BaTiO3,perovskite,Generate a barium titanate perovskite candidate using retrieved oxide evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CATIO3,BREADTH,CaTiO3,perovskite,Generate a calcium titanate perovskite candidate using retrieved oxide evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CSPBBR3,BREADTH,CsPbBr3,halide perovskite,Generate a CsPbBr3 halide perovskite candidate using retrieved evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CSPBCL3,BREADTH,CsPbCl3,halide perovskite,Generate a CsPbCl3 halide perovskite candidate using retrieved evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CSPBI3,BREADTH,CsPbI3,halide perovskite,Generate a CsPbI3 halide perovskite candidate using retrieved evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CSSNBR3,BREADTH,CsSnBr3,halide perovskite,Generate a CsSnBr3 halide perovskite candidate using retrieved evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-CSSNI3,BREADTH,CsSnI3,halide perovskite,Generate a CsSnI3 halide perovskite candidate using retrieved evidence.,none,,enabled,mp_stable_10k_v1,40,yes,yes,yes,Native QLIP breadth row; no earlier result qualified for exact no-scaffold reuse.
SPP-NATIVE-NASICON-ZR,COMPLEX_CHALLENGE,Na3Zr2Si2PO12,NASICON/NZP,Generate Na3Zr2Si2PO12 as a NASICON/NZP crystal with requested C2 symmetry.,none,,enabled,nasicon_specialist_v3,40,yes,yes,yes,Primary ablation NONE result reused only by artifact hash after execution.
SPP-NATIVE-NASICON-TI,COMPLEX_CHALLENGE,Na3Ti2(PO4)3,NASICON/NZP,Generate Na3Ti2(PO4)3 as a NASICON/NZP crystal with requested R-3 symmetry.,none,,enabled,nasicon_specialist_v3,40,yes,yes,yes,Primary ablation NONE result reused only by artifact hash after execution.
SPP-NATIVE-NZP-LI,COMPLEX_CHALLENGE,LiZr2(PO4)3,NASICON/NZP,Generate LiZr2(PO4)3 as a NASICON/NZP crystal with requested R-3c symmetry.,none,,enabled,nasicon_specialist_v3,40,yes,yes,yes,Primary ablation NONE result reused only by artifact hash after execution.
